Country,Military Troops (Active),Military Troops (Reserve),Military Troops (Para-),Military Troops (Total),Military Troops (Total) (per capita),Military Troops (Active) (per capita)
Mozambique[129],11200,0,0,11200,0.0005,0.0005
Namibia[130],9200,0,6000,15200,0.0072,0.0044
Nepal[131],95753,0,62000,157753,0.0055,0.0034
Netherlands[132],61302,3339,3000,67641,0.004,0.0037
New Zealand[133],9702,2249,0,11951,0.0028,0.0023
Nicaragua[134],12000,0,0,12000,0.002,0.002
Niger[135],5300,0,5400,10700,0.0007,0.0003
Nigeria[136],80000,0,82000,162000,0.0011,0.0005
Democratic People's Republic of Korea[137][j],1106000,8200000,189000,9495000,0.3867,0.045
Norway[138],24025,45250,0,69275,0.0149,0.0052
Oman[139],42600,0,4400,47000,0.0138,0.0125
Pakistan[140][141],617000,513000,304000,1434000,0.0082,0.0035
Palestine[142][k],0,0,56000,56000,0.014,0
Panama[143],0,0,12000,12000,0.0036,0
Papua New Guinea[144],3100,0,0,3100,0.0005,0.0005
Paraguay[145],10650,164500,14800,189950,0.0272,0.0015
Peru[146][l],114000,195000,77000,386000,0.0131,0.0039
Philippines[147][m][148],220000,430000,140000,790000,0.0081,0.0022
Poland[149],120000,515000,28000,663000,0.0172,0.0031
Portugal[150],43330,210900,47700,301930,0.0282,0.004
Qatar[151],11800,0,0,11800,0.0134,0.0134
Republic of Macedonia[152],8000,4850,0,12850,0.0062,0.0039
Republic of the Congo[153],10000,0,2000,12000,0.003,0.0025
Romania[154],73350,45000,79900,198250,0.0089,0.0033
Russian Federation[155][156][n],766000,2035000,449000,3250000,0.0227,0.0053
Rwanda[157],33000,0,2000,35000,0.0033,0.0031
Saint Kitts and Nevis[158][o],70,130,119,319,0.0062,0.0014
S?o Tom‚ and Pr¡ncipe[159][160],600,0,0,600,0.0033,0.0033
Saudi Arabia[161],233500,0,15500,249000,0.0087,0.0081
Senegal[162],13620,0,5000,18620,0.0014,0.001
Serbia[163][164],36000,170000,10000,216000,0.0293,0.0049
Seychelles[165],200,0,450,650,0.0074,0.0023
Sierra Leone[166],10500,0,0,10500,0.002,0.002
Singapore[167][p],72500,356500,93800,522800,0.1122,0.0156
Slovakia[168],16531,0,0,16531,0.003,0.003
Slovenia[169],7200,3800,4500,15500,0.0077,0.0036
Somalia[170],62000,23000,0,85000,0.0086,0.0063
South Africa[171],62082,15071,12382,89535,0.0018,0.0013
Republic of Korea[172][q],687000,1000000,3500000,5187000,0.1036,0.0137
South Ossetia[173][174],2500,16000,0,18500,0.2569,0.0347
Spain[175],123300,16000,80210,219510,0.0047,0.0026
Sri Lanka[176][177][r],223100,35900,62200,321200,0.0151,0.0105
Sudan[176][s],109300,85000,17500,211800,0.0052,0.0027
Suriname[178],1840,0,0,1840,0.0038,0.0038
Swaziland[179][180][181][t],3000,0,644,3644,0.0031,0.0025
Sweden[182][u],15400,34000,800,50200,0.0055,0.0017
Switzerland[183],22059,174071,7000,203130,0.0267,0.0029
Syria[184],325000,314000,108000,747000,0.0343,0.0149
Republic of China (Taiwan)[185],290000,1657000,17000,1964000,0.0855,0.0126
Tajikistan[186],8800,0,7500,16300,0.0022,0.0012
Tanzania[187],27000,80000,1400,108400,0.0026,0.0007
